"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-05-01","3.67115255519093","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-06-01","3.05767411757138","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-07-01","3.18587994421799","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-08-01","2.91743625998032","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-09-01","2.34672862731521","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-10-01","3.55638575692396","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-11-01","3.26724783503869","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-12-01","3.14058593352806","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-01-01","3.56338934376501","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-02-01","3.77442546771284","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-03-01","3.89260460086467","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-04-01","4.42508355470626","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-05-01","3.38144765191619","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-06-01","2.99428998143454","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-07-01","3.6875376750318","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-08-01","4.1191543644712","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-09-01","3.99393541873216","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-10-01","4.00260149329726","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-11-01","4.35339637836411","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2007-12-01","3.69296123562921","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-01-01","3.78283103099945","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-02-01","3.29691149237625","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-03-01","1.54257389021105","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-04-01","1.93277371053639","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-05-01","1.67186633979142","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-06-01","-0.0321599267457344","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-07-01","0.560385995757877","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-08-01","0.104519254944444","Annual % change","27-07-23"
